0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:09 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:13 +0900] "GET /winefine/store.pr?pno=36 HTTP/1.1" 200 27502
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:13 +0900] "GET /winefine/resources/product_upfiles/RISERVA_1.png HTTP/1.1" 200 157948
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:17 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25105
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:20 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/store.th?currentPage=4 HTTP/1.1" 200 31906
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/16.png HTTP/1.1" 200 34662
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/15.png HTTP/1.1" 200 32284
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/14.png HTTP/1.1" 200 33114
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/13.png HTTP/1.1" 200 38998
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/12.png HTTP/1.1" 200 33209
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/11.png HTTP/1.1" 200 33186
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/10.png HTTP/1.1" 200 28036
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/09.png HTTP/1.1" 200 37634
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:22 +0900] "GET /winefine/resources/product_upfiles/08.png HTTP/1.1" 200 39024
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:23 +0900] "GET /winefine/store.pr?pno=15 HTTP/1.1" 200 27450
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:23 +0900] "GET /winefine/resources/product_upfiles/15_1.png HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:27 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 28052
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:28 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:38 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:43 +0900] "GET /winefine/list.ca HTTP/1.1" 200 28052
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:45 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:41:54 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 21454
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:42:17 +0900] "GET /winefine/orderDetail.me?orderNo=1 HTTP/1.1" 200 23237
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:43:53 +0900] "GET /winefine/myPage.me HTTP/1.1" 200 21368
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:43:54 +0900] "GET /winefine/list.ca HTTP/1.1" 200 22276
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:43:57 +0900] "GET /winefine/myPage.me HTTP/1.1" 200 21368
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:43:58 +0900] "GET /winefine/checkForm.me HTTP/1.1" 200 20629
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:55:50 +0900] "GET /winefine/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:55:50 +0900] "GET /winefine/main.do HTTP/1.1" 200 22459
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:55:53 +0900] "GET /winefine/loginForm.me HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:55:59 +0900] "POST /winefine/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:55:59 +0900] "GET /winefine/main.do HTTP/1.1" 200 22921
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:01 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:01 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:02 +0900] "GET /winefine/store.pr?pno=42 HTTP/1.1" 200 27471
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:09 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25104
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:10 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:16 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 20683
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:21 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:22 +0900] "GET /winefine/store.pr?pno=41 HTTP/1.1" 200 27402
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:22 +0900] "GET /winefine/resources/product_upfiles/sodale_1.png HTTP/1.1" 200 157587
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:26 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25078
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:26 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:27 +0900] "GET /winefine/store.pr?pno=37 HTTP/1.1" 200 27419
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:27 +0900] "GET /winefine/resources/product_upfiles/gelsi_1.png HTTP/1.1" 200 164700
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:30 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 28019
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:31 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/store.th?currentPage=3 HTTP/1.1" 200 31947
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/moscato.png HTTP/1.1" 200 64724
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/hercules.png HTTP/1.1" 200 42874
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/blanc.png HTTP/1.1" 200 54416
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/xola.png HTTP/1.1" 200 58973
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/muscat.png HTTP/1.1" 200 44988
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/20.png HTTP/1.1" 200 33643
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/19.png HTTP/1.1" 200 32777
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/18.png HTTP/1.1" 200 29866
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:34 +0900] "GET /winefine/resources/product_upfiles/17.png HTTP/1.1" 200 28684
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:35 +0900] "GET /winefine/store.pr?pno=17 HTTP/1.1" 200 27397
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:35 +0900] "GET /winefine/resources/product_upfiles/17_1.png HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:39 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 30953
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:40 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:50 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 21454
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:53 +0900] "GET /winefine/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:53 +0900] "GET /winefine/main.do HTTP/1.1" 200 22459
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:55 +0900] "GET /winefine/loginForm.me HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:59 +0900] "POST /winefine/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:56:59 +0900] "GET /winefine/main.do HTTP/1.1" 200 22921
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:02 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:04 +0900] "GET /winefine/store.pr?pno=40 HTTP/1.1" 200 27478
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:04 +0900] "GET /winefine/resources/product_upfiles/vineyard_1.png HTTP/1.1" 200 190874
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:07 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25106
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:08 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24153
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:15 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 20682
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:18 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:19 +0900] "GET /winefine/store.pr?pno=39 HTTP/1.1" 200 27465
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:19 +0900] "GET /winefine/resources/product_upfiles/tannat_1.png HTTP/1.1" 200 183850
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:22 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25105
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:22 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:30 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 21453
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:33 +0900] "GET /winefine/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:33 +0900] "GET /winefine/main.do HTTP/1.1" 200 22459
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:34 +0900] "GET /winefine/loginForm.me HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:39 +0900] "POST /winefine/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:39 +0900] "GET /winefine/main.do HTTP/1.1" 200 22921
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:41 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:41 +0900] "GET /winefine/store.pr?pno=43 HTTP/1.1" 200 27448
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:45 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 25096
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:47 +0900] "GET /winefine/store.th?currentPage=1 HTTP/1.1" 200 31792
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:48 +0900] "GET /winefine/store.pr?pno=41 HTTP/1.1" 200 27402
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:53 +0900] "POST /winefine/insertList.ca HTTP/1.1" 200 28033
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:57:54 +0900] "POST /winefine/views/store/buy.jsp HTTP/1.1" 200 24154
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:58:05 +0900] "POST /winefine/buyToPay.st HTTP/1.1" 200 4661
0:0:0:0:0:0:0:1 - - [07/Jun/2022:13:58:24 +0900] "POST /payments/complete HTTP/1.1" 404 787
